name;CAS;m_mol;S;p_vap;H;koc;kow;D_air;D_w;BA;NA;LOD_w;LOD_s;NA;lamnda_s;lambda_u;NA;theta_ag;theta_bg;EPA_w;is_carc;SF_o;UR_inhal;Ref_oral;Ref_inhal;ads_derm;ads_gast;derm_per;derm_lag;derm_exp;derm_contr;MCL1;MCL2;NA;PEL_TWA;NA;AQLP_w;AQLP_w;HH_w;HH_fish;HH_fish_salt;NA
cobalt;7440484;  58.9332	;  0	;  0	;  0	;  1.6532125138	;  0	;  0	;  0	;  1	; ;  -	;  -	; ;  -	;  -	; ;  0.01	;  0.007	;  NA	;  FALSE	;  -	;  -	;  0.06	;  2e-005	;  0.01	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  0.1	; ;  -	;  -	;  -	;  -	;  -	; 
copolymer-acrylamide;69418264;  71.0788	;  2200000	;  0.007	;  1.33024e-008	;  -0.66	;  -0.8074	;  0.097	;  1.275e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0002	;  3e-005	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
acrylic-acid;79107;  72.06356	;  1000000	;  3.72	;  1.317769e-005	;  0.05428385672	;  0.4415	;  0.0908	;  1.06e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.5	;  0.001	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
copper;7440508;  63.546	;  0	;  0	;  0	;  1.6020599913	;  -0.571	;  0	;  0	;  1	; ;  0.06	;  0.006	; ;  -	;  -	; ;  0.29	;  0.25	;  D	;  FALSE	;  -	;  -	;  0.04	;  0.001	;  0.01	;  0.57	;  0.001	;  -	;  -	;  -	;  1.3	;  1	; ;  1	; ;  -	;  0.0036	;  1.3	;  -	;  -	; 
coronene;191071;  300.3588	;  9.032411527e-006	;  2.21279898e-013	;  6.6016944034e-006	;  7.4590681352	;  7.587780402	;  0.03695550205	;  4.9261231844e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
coumaphos;56724;  362.7699	;  0.3856567221	;  4.224871808e-009	;  2.1737535683e-007	;  4.2034225345	;  4.259885845	;  0.03529369698	;  4.8136011533e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.007	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
cresol-m;108394;  108.13992	;  23000	;  0.14	;  3.61659e-005	;  1.94	;  2.0601	;  0.074	;  1e-005	;  1	; ;  0.01	;  0.66	; ;  49	;  49	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.05	;  0.01	;  0.1	;  0.5	;  0.01	;  0.4	;  0.96	;  0.0091	;  -	;  -	; ;  10	; ;  -	;  -	;  -	;  -	;  -	; 
cresol-o;95487;  108.13992	;  20400	;  0.32	;  6.6512e-005	;  1.99	;  2.0601	;  0.074	;  8.3e-006	;  1	; ;  0.01	;  0.66	; ;  14	;  14	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.05	;  0.01	;  0.1	;  0.5	;  0.01	;  0.4	;  0.96	;  0.0089	;  -	;  -	; ;  10	; ;  -	;  -	;  -	;  -	;  -	; 
cresol-p;106445;  108.13992	;  23000	;  0.13	;  3.99072e-005	;  1.91	;  2.0601	;  0.074	;  1e-005	;  1	; ;  0.01	;  0.66	; ;  28	;  28	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.005	;  0.01	;  0.1	;  0.65	;  0.01	;  0.4	;  0.96	;  0.0087	;  -	;  -	; ;  10	; ;  -	;  -	;  -	;  -	;  -	; 
crotonaldehyde;123739;  70.09104	;  160000	;  19	;  0.000814772	;  0.21408385672	;  0.6013	;  0.0937	;  1.02e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  1.9	;  -	;  -	;  0.006	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  6	; ;  -	;  -	;  -	;  -	;  -	; 
cumene;98828;  120.19428	;  50	;  4.6	;  0.606922	;  3.54	;  3.449	;  0.065	;  7.1e-006	;  1	; ;  -	;  -	; ;  16	;  16	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.1	;  0.4	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  245	; ;  -	;  -	;  -	;  -	;  -	; 
cyanazine;21725462;  240.6946	;  115	;  7.280476193e-009	;  6.7e-010	;  1.6916922097	;  1.720663489	;  0.04334671126	;  5.828811907e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  0.84	;  -	;  0.002	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
