,CAS,nombre,name,MW,MW_ref,H,HLC,H_ref,VP,VP_ref,MP,MP_ref,rho,rho_ref,Da,Dw,D_ref,Kd,Kd_ref,Koc,Koc_ref,logKoc,logKoc_ref,S,S_ref,B,tau,tau.,Kp,Kp_ref
505,6369-59-1,NA,"Benzenediamine-2-methyl sulfate, 1,4-",220,EPI,8.9E-022,2.2E-023,EPI,2.9E-014,EPI,240,EPI,NA,,0.052,0.0000061,WATER 9,NA,,38,EPI,-3.7,EPI,1000000,EPI,0.0000017,1.8,4.3,0.0000003,EPI
506,64-18-6,Ácido fórmico,Formic Acid,46,PHYSPROP,0.0000068,0.00000017,PHYSPROP,43,PHYSPROP,8.3,PHYSPROP,1.2,CRC89,0.15,0.000017,WATER 9,NA,,1,EPI,-0.54,PHYSPROP,1000000,PHYSPROP,0.00099,0.19,0.46,0.00038,EPI
507,6423-43-4,"1,2-propanodiol, 1,2-dinitrato",Propylene Glycol Dinitrate,170,PHYSPROP,0.000039,0.00000094,PHYSPROP,0.38,PHYSPROP,-9.6,EPI,NA,,0.063,0.0000073,WATER 9,NA,,61,EPI,1.8,PHYSPROP,3300,EPI,0.01,0.9,2.1,0.0021,EPI
508,64742-95-6,"Nafta disolvente (petróleo), fracción aromática ligera","Naphtha, High Flash Aromatic (HFAN)",NA,,0.018,0.00044,EPI,0.085,EPI,NA,,NA,,NA,NA,,NA,,NA,,NA,,31,EPI,NA,NA,NA,NA,
509,64902-72-3,NA,Chlorsulfuron,360,PHYSPROP,1.4E-014,3.4E-016,EPI,2.3E-011,PHYSPROP,180,PHYSPROP,NA,,0.038,0.0000044,WATER 9,NA,,320,EPI,2,PHYSPROP,31000,PHYSPROP,0.0024,11,25,0.00033,EPI
510,65-85-0,Ácido benzoico,Benzoic Acid,120,PHYSPROP,0.0000016,0.000000038,EPI,0.0007,PHYSPROP,120,PHYSPROP,1.3,CRC89,0.07,0.0000098,WATER 9,NA,,0.6,SSL,1.9,PHYSPROP,3400,PHYSPROP,0.024,0.51,1.2,0.0057,EPI
511,65195-55-3,NA,Avermectin B1,880,PHYSPROP,5.4E-026,1.3E-027,PHYSPROP,1.5E-030,PHYSPROP,350,EPI,NA,,0.021,0.0000024,WATER 9,NA,,880000,EPI,4.5,PHYSPROP,0.00035,PHYSPROP,0.00021,8400,20000,0.000018,EPI
512,6533-73-9,"Ácido carbónico, sal de talio (1 +) (1:2)",Thallium Carbonate,470,PHYSPROP,NA,NA,,5.8,PHYSPROP,270,PHYSPROP,7.1,CRC89,0.039,0.000012,WATER 9,NA,,2.9,EPI,-0.86,PHYSPROP,52000,PHYSPROP,0.0000082,44,110,0.00000098,EPI
513,65510-44-3,NA,"~Pentachlorobiphenyl, 2',3,4,4',5- (PCB 123)",330,EPI,0.0078,0.00019,EPI,0.0000055,EPI,98,EPI,1.5,LookChem,0.047,0.0000061,WATER 9,NA,,130000,EPI,7,EPI,0.016,EPI,6.9,7.1,32,1,EPI
514,66-27-3,"Ácido metanosulfónico, metil éster",Methyl methanesulfonate,110,PHYSPROP,0.00016,0.000004,PHYSPROP,0.31,PHYSPROP,20,PHYSPROP,1.3,CRC89,0.079,0.000011,WATER 9,NA,,4.3,EPI,-0.66,PHYSPROP,200000,LANGE,0.00056,0.44,1,0.00014,EPI
515,66215-27-8,"1,3,5-triazina-2 ,4,6-triamina, N2-ciclopropil -",Cyromazine,170,PHYSPROP,2.3E-012,5.7E-014,EPI,3.4E-009,PHYSPROP,220,PHYSPROP,NA,,0.063,0.0000073,WATER 9,NA,,29,EPI,-0.061,PHYSPROP,13000,PHYSPROP,0.004,0.9,2.2,0.0008,EPI
516,66332-96-5,"Benzamida, N-[3 - (1-metiletoxi) fenil] -2 - (trifluorometil) -",Flutolanil,320,PHYSPROP,0.00000013,3.2E-009,EPI,0.000000049,PHYSPROP,100,PHYSPROP,NA,,0.04,0.0000047,WATER 9,NA,,2600,EPI,3.7,PHYSPROP,6.5,PHYSPROP,0.048,6.8,16,0.0069,EPI
517,66841-25-6,"Ácido ciclopropanocarboxílico, 2,2-dimetil-3-(1,2,2,2-tetrabromoetil) -, ciano (3-fenoxifenil) metil éster",Tralomethrin,670,PHYSPROP,0.000000016,3.9E-010,EPI,3.6E-011,PHYSPROP,140,PHYSPROP,NA,,0.025,0.0000029,WATER 9,NA,,190000,EPI,7.6,PHYSPROP,0.08,PHYSPROP,0.3,560,1300,0.031,EPI
518,67-20-9,"2,4-imidazolidinadiona, 1 - [[(5-nitro-2-furanil) metilen] amino] -",Nitrofurantoin,240,PHYSPROP,5.4E-011,1.3E-012,PHYSPROP,2.8E-010,PHYSPROP,260,PHYSPROP,NA,,0.049,0.0000058,WATER 9,NA,,120,EPI,-0.47,PHYSPROP,80,PHYSPROP,0.00021,2.3,5.4,0.000035,EPI
519,67-45-8,"2-oxazolidinona, 3 - [[(5-nitro-2-furanil) metileno] amino] -",Furazolidone,230,PHYSPROP,1.3E-009,3.3E-011,PHYSPROP,0.0000026,PHYSPROP,260,PHYSPROP,NA,,0.051,0.000006,WATER 9,NA,,860,EPI,-0.04,PHYSPROP,40,PHYSPROP,0.00046,1.9,4.6,0.00008,EPI
520,67-56-1,Metanol,Methanol,32,PHYSPROP,0.00019,0.0000046,PHYSPROP,130,PHYSPROP,-98,PHYSPROP,0.79,CRC89,0.16,0.000016,WATER 9,NA,,1,EPI,-0.77,PHYSPROP,1000000,PHYSPROP,0.00069,0.16,0.38,0.00032,EPI
521,67-63-0,2-propanol,Isopropanol,60,PHYSPROP,0.00033,0.0000081,PHYSPROP,45,PHYSPROP,-90,PHYSPROP,0.78,CRC89,0.1,0.000011,WATER 9,NA,,1.5,EPI,0.05,PHYSPROP,1000000,PHYSPROP,0.0023,0.23,0.55,0.00078,EPI
522,67-64-1,2-propanona,Acetone,58,PHYSPROP,0.0014,0.000035,PHYSPROP,230,PHYSPROP,-95,PHYSPROP,0.78,CRC89,0.11,0.000011,WATER 9,NA,,2.4,EPI,-0.24,PHYSPROP,1000000,PHYSPROP,0.0015,0.22,0.53,0.00051,EPI
523,67-66-3,"Metano, tricloro -",Chloroform,120,PHYSPROP,0.15,0.0037,PHYSPROP,200,PHYSPROP,-64,PHYSPROP,1.5,CRC89,0.077,0.000011,WATER 9,NA,,32,EPI,2,PHYSPROP,8000,PHYSPROP,0.029,0.49,1.2,0.0068,EPI
524,67-72-1,"Etano, 1,1,1,2,2,2-hexacloro -",Hexachloroethane,240,PHYSPROP,0.16,0.0039,PHYSPROP,0.21,PHYSPROP,190,PHYSPROP,2.1,CRC89,0.032,0.0000089,WATER 9,NA,,200,EPI,4.1,PHYSPROP,50,PHYSPROP,0.25,2.2,5.3,0.042,EPI
525,67485-29-4,"1,4-Pentadien-3-ona, 1,5-bis [4 - (trifluorometil) fenil] -, 2 - (1,4,5,6-tetrahidro-5 ,5-dimetil-2-pirimidinil) hidrazona",Hydramethylnon,490,PHYSPROP,0.00009,0.0000022,EPI,0.00000002,PHYSPROP,190,PHYSPROP,NA,,0.03,0.0000036,WATER 9,NA,,180000000,EPI,2.3,PHYSPROP,0.006,PHYSPROP,0.00077,62,150,0.00009,EPI
