,CAS,nombre,name,MW,MW_ref,H,HLC,H_ref,VP,VP_ref,MP,MP_ref,rho,rho_ref,Da,Dw,D_ref,Kd,Kd_ref,Koc,Koc_ref,logKoc,logKoc_ref,S,S_ref,B,tau,tau.,Kp,Kp_ref
714,8065-48-3,"Ácido fosforotioico, O, O-dietil-[2 - (etiltio) etil] éster, mezcla con O, O-dietil S-[2 - (etiltio) etil] fosforotioato",Demeton,520,PHYSPROP,0.00016,0.0000038,PHYSPROP,0.00034,PHYSPROP,NA,,1.1,PubChem,0.016,0.0000038,WATER 9,NA,,NA,,3.2,PHYSPROP,670,PHYSPROP,0.066,82,200,0.0076,RAGSE
715,81-81-2,"2h-1-benzopirano-2-ona, 4-hidroxi-3-(3-oxo-1-fenilbutil) -",Warfarin,310,PHYSPROP,0.00000011,2.8E-009,EPI,0.00000012,PHYSPROP,160,PHYSPROP,NA,,0.042,0.0000049,WATER 9,NA,,430,EPI,2.7,PHYSPROP,17,PHYSPROP,0.012,5.6,13,0.0018,EPI
716,811-97-2,"Etano, 1,1,1,2-tetrafluoro -","Tetrafluoroethane, 1,1,1,2-",100,PHYSPROP,2,0.05,PHYSPROP,5000,PHYSPROP,-100,PHYSPROP,1.2,CRC89,0.082,0.000011,WATER 9,NA,,86,EPI,1.7,PHYSPROP,2000,PHYSPROP,0.021,0.39,0.94,0.0055,EPI
717,81335-37-7,NA,Imazaquin,310,PHYSPROP,2.8E-016,6.9E-018,PHYSPROP,1E-013,PHYSPROP,220,PHYSPROP,NA,,0.041,0.0000048,WATER 9,NA,,2400,EPI,1.9,PHYSPROP,90,PHYSPROP,0.0033,5.8,14,0.00048,EPI
718,81335-77-5,NA,Imazethapyr,290,PHYSPROP,4.3E-015,1E-016,PHYSPROP,2.2E-011,PHYSPROP,170,PHYSPROP,NA,,0.043,0.0000051,WATER 9,NA,,340,EPI,1.5,PHYSPROP,1400,PHYSPROP,0.013,4.4,11,0.002,EPI
719,82-68-8,"Benceno, 1,2,3,4,5-pentacloro-6-nitro -",Pentachloronitrobenzene,300,PHYSPROP,0.0018,0.000044,EPI,0.00005,PHYSPROP,140,PHYSPROP,1.7,CRC89,0.026,0.0000069,WATER 9,NA,,6000,EPI,4.6,PHYSPROP,0.44,PHYSPROP,0.28,4.7,11,0.042,EPI
720,82097-50-5,"Bencenosulfonamida, 2 - (2-) cloroetoxi-N-[[(4-metoxi-6-metil-1 ,3,5-triazin-2-il) amino] carbonil] -",Triasulfuron,400,PHYSPROP,1.3E-011,3.2E-013,PHYSPROP,5.5E-012,PHYSPROP,190,PHYSPROP,NA,,0.035,0.0000041,WATER 9,NA,,430,EPI,1.1,PHYSPROP,32,PHYSPROP,0.00036,19,45,0.000047,EPI
721,822-06-0,"Hexano, 1,6-diisocianato-","Hexamethylene Diisocyanate, 1,6-",170,PHYSPROP,0.002,0.000048,PHYSPROP,0.03,PHYSPROP,-67,PHYSPROP,1.1,CRC89,0.04,0.0000072,WATER 9,NA,,4800,EPI,3.2,PHYSPROP,120,PHYSPROP,0.12,0.92,2.2,0.024,EPI
722,82558-50-7,NA,Isoxaben,330,PHYSPROP,0.000000052,1.3E-009,EPI,4.1E-009,PHYSPROP,180,PHYSPROP,NA,,0.04,0.0000046,WATER 9,NA,,1300,EPI,3.9,PHYSPROP,1.4,PHYSPROP,0.062,7.6,18,0.0089,EPI
723,82657-04-3,"Ácido ciclopropanocarboxílico, 3 - [(1Z)-2-cloro-3 ,3,3-trifluoro-1-propen-1-il] -2,2-dimetil-, (2-metil [1,1 '-bifenil] -3-il) metil éster, (1R, 3R)-rel -",Biphenthrin,420,PHYSPROP,0.000041,0.000001,EPI,0.00000018,PHYSPROP,69,PHYSPROP,1.2,CRC89,0.018,0.0000045,WATER 9,NA,,2300000,EPI,6,PHYSPROP,0.001,PHYSPROP,14,25,110,1.7,EPI
724,83-32-9,NA,~Acenaphthene,150,PHYSPROP,0.0075,0.00018,PHYSPROP,0.0022,PHYSPROP,93,PHYSPROP,1.2,CRC89,0.051,0.0000083,WATER 9,NA,,5000,EPI,3.9,PHYSPROP,3.9,PHYSPROP,0.41,0.77,1.8,0.086,EPI
725,83-79-4,"[1] benzopirano [3,4-b] furo [2,3-h] [1] benzopirano-6 (6ah)-uno, 1,2,12,12 a-tetrahidro-8 ,9-dimetoxi-2-( 1-metiletenil) -, (2r, 6as, 12as) -",Rotenone,390,PHYSPROP,4.6E-012,1.1E-013,PHYSPROP,6.9E-010,PHYSPROP,180,PHYSPROP,NA,,0.035,0.0000041,WATER 9,NA,,260000,EPI,4.1,PHYSPROP,0.2,PHYSPROP,0.039,17,41,0.0051,EPI
726,83055-99-6,NA,Bensulfuron-methyl,410,PHYSPROP,1.5E-013,3.8E-015,EPI,2.1E-014,PHYSPROP,190,PHYSPROP,NA,,0.034,0.000004,WATER 9,NA,,28,EPI,2.2,PHYSPROP,120,PHYSPROP,0.0017,21,50,0.00022,EPI
727,834-12-8,"1,3,5-Triazina-2,4-diamina, N2-etil-N4-(1-metiletil)-6-(metiltio)-",Ametryn,230,PHYSPROP,0.000000099,2.4E-009,EPI,0.0000027,PHYSPROP,88,PHYSPROP,NA,,0.051,0.000006,WATER 9,NA,,430,EPI,3,PHYSPROP,210,PHYSPROP,0.046,2,4.7,0.0079,EPI
728,84-65-1,"9,10-antraquinona","Anthraquinone, 9,10-",210,PHYSPROP,0.00000096,0.000000024,EPI,0.00000012,PHYSPROP,290,PHYSPROP,NA,,0.054,0.0000063,WATER 9,NA,,5000,EPI,3.4,PHYSPROP,1.4,PHYSPROP,0.11,1.5,3.7,0.019,EPI
729,84-66-2,"Ácido 1,2-bencenodicarboxílico, 1,2-dietil éster",~Diethyl Phthalate,220,PHYSPROP,0.000025,0.00000061,EPI,0.0021,PHYSPROP,-41,PHYSPROP,1.2,CRC89,0.026,0.0000067,WATER 9,NA,,100,EPI,2.4,PHYSPROP,1100,PHYSPROP,0.021,1.8,4.4,0.0036,EPI
730,84-72-0,NA,Ethylphthalyl Ethyl Glycolate,280,PHYSPROP,0.00000027,6.6E-009,PHYSPROP,0.00022,PHYSPROP,23,EPI,NA,,0.044,0.0000052,WATER 9,NA,,1000,EPI,2.2,PHYSPROP,220,PHYSPROP,0.0077,3.9,9.4,0.0012,EPI
731,84-74-2,"Ácido 1,2-bencenodicarboxílico, 1,2-dibutil éster",~Dibutyl Phthalate,280,PHYSPROP,0.000074,0.0000018,PHYSPROP,0.00002,PHYSPROP,-35,PHYSPROP,1,CRC89,0.021,0.0000053,WATER 9,NA,,1200,EPI,4.5,PHYSPROP,11,PHYSPROP,0.27,3.8,9.1,0.042,EPI
732,85-00-7,NA,Diquat,340,PHYSPROP,5.8E-012,1.4E-013,PHYSPROP,0.0000018,PHYSPROP,340,PHYSPROP,1.2,CRC89,0.021,0.0000052,WATER 9,NA,,9300,EPI,-4.6,PHYSPROP,710000,PHYSPROP,0.0000017,8.9,21,0.00000024,EPI
733,85-44-9,"1,3-isobenzofurandiona",~Phthalic Anhydride,150,PHYSPROP,0.00000067,0.000000016,EPI,0.00052,EPI,130,PHYSPROP,1.5,CRC89,0.059,0.0000098,WATER 9,NA,,10,EPI,1.6,PHYSPROP,6200,PHYSPROP,0.012,0.71,1.7,0.0027,EPI
734,85-68-7,"Ácido 1,2-bencenodicarboxílico, 1-butil 2 - (fenilmetil) éster",~Butyl Benzyl Phthalate,310,PHYSPROP,0.000052,0.0000013,EPI,0.0000083,PHYSPROP,-35,PubChem,1.1,CRC89,0.021,0.0000052,WATER 9,NA,,7200,EPI,4.7,PHYSPROP,2.7,PHYSPROP,0.26,5.9,14,0.039,EPI
735,85-70-1,NA,~Butylphthalyl Butylglycolate,340,PHYSPROP,0.00000084,0.000000021,PHYSPROP,0.0000071,PHYSPROP,-35,PHYSPROP,1.1,LANGE,0.02,0.0000049,WATER 9,NA,,11000,EPI,4.2,PHYSPROP,8.8,PHYSPROP,0.082,8,19,0.012,EPI
736,85509-19-9,"1H-1 ,2,4-triazol, 1 - [[bis (4-fluorofenil) metilsilil] metil] -",Flusilazole,320,PHYSPROP,0.000000092,2.3E-009,PHYSPROP,0.00000029,PHYSPROP,54,PHYSPROP,NA,,0.041,0.0000048,WATER 9,NA,,81000,EPI,3.7,PHYSPROP,54,PHYSPROP,0.052,6.1,15,0.0077,EPI
737,86-30-6,"Bencenamina, n-nitroso-n-fenil -","Nitrosodiphenylamine, N-",200,PHYSPROP,0.000049,0.0000012,PHYSPROP,0.1,PHYSPROP,67,PHYSPROP,NA,,0.056,0.0000065,WATER 9,NA,,2600,EPI,3.1,PHYSPROP,35,PHYSPROP,0.079,1.4,3.3,0.015,EPI
738,86-50-0,"Ácido fosforoditioico, o, o-dimetil s-[(4-oxo-1 ,2,3-benzotriazin-3 (4h)-il) metil] éster",Azinphos-methyl,320,PHYSPROP,0.00000098,0.000000024,EPI,0.0000016,PHYSPROP,73,PHYSPROP,1.4,CRC89,0.023,0.000006,WATER 9,NA,,52,EPI,2.8,PHYSPROP,21,PHYSPROP,0.012,6.3,15,0.0018,EPI
739,86-73-7,NA,~Fluorene,170,PHYSPROP,0.0039,0.000096,PHYSPROP,0.0006,PHYSPROP,110,PHYSPROP,1.2,CRC89,0.044,0.0000079,WATER 9,NA,,9200,EPI,4.2,PHYSPROP,1.7,PHYSPROP,0.55,0.9,2.2,0.11,EPI
740,87-61-6,NA,"Trichlorobenzene, 1,2,3-",180,PHYSPROP,0.051,0.0013,PHYSPROP,0.21,PHYSPROP,54,PHYSPROP,1.5,CRC89,0.04,0.0000084,WATER 9,NA,,1400,EPI,4.1,PHYSPROP,18,PHYSPROP,0.38,1.1,2.6,0.074,EPI
741,87-68-3,"1,3-butadieno, 1,1,2,3,4,4-hexacloro -",Hexachlorobutadiene,260,PHYSPROP,0.42,0.01,PHYSPROP,0.22,PHYSPROP,-21,PHYSPROP,1.6,CRC89,0.027,0.000007,WATER 9,NA,,850,EPI,4.8,PHYSPROP,3.2,PHYSPROP,0.5,3,7.3,0.081,EPI
742,87-82-1,NA,Hexabromobenzene,550,PHYSPROP,0.0011,0.000028,PHYSPROP,0.000000016,PHYSPROP,330,PHYSPROP,3,LookChem,0.025,0.0000066,WATER 9,NA,,2800,EPI,6.1,PHYSPROP,0.00016,PHYSPROP,0.12,130,310,0.014,EPI
743,87-84-3,NA,"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-",510,PHYSPROP,0.000039,0.00000096,PHYSPROP,0.0000035,PHYSPROP,200,CRC89,NA,,0.03,0.0000035,WATER 9,NA,,2800,EPI,4.7,PHYSPROP,0.055,PHYSPROP,0.025,79,190,0.0028,EPI
744,87-86-5,"Fenol, 2,3,4,5,6-pentacloro -",Pentachlorophenol,270,PHYSPROP,0.000001,0.000000025,PHYSPROP,0.00011,PHYSPROP,170,PHYSPROP,2,CRC89,0.03,0.000008,WATER 9,NA,,590,SSL,5.1,PHYSPROP,14,PHYSPROP,0.8,3.3,13,0.13,EPI
745,88-06-2,"Fenol, 2,4,6-tricloro -","Trichlorophenol, 2,4,6-",200,PHYSPROP,0.00011,0.0000026,EPI,0.008,EPI,69,PHYSPROP,1.5,CRC89,0.031,0.0000081,WATER 9,NA,,380,SSL,3.7,PHYSPROP,800,PHYSPROP,0.19,1.3,3.2,0.035,EPI
746,88-72-2,"Benceno, 1-metil-2-nitro -","Nitrotoluene, o-",140,PHYSPROP,0.00051,0.000013,PHYSPROP,0.19,EPI,-10,PHYSPROP,1.2,CRC89,0.059,0.0000087,WATER 9,NA,,370,EPI,2.3,PHYSPROP,650,PHYSPROP,0.04,0.62,1.5,0.009,EPI
747,88-73-3,"Benceno, 1-cloro-2-nitro -","Chloronitrobenzene, o-",160,PHYSPROP,0.00038,0.0000093,PHYSPROP,0.018,EPI,33,PHYSPROP,1.4,CRC89,0.051,0.0000088,WATER 9,NA,,370,EPI,2.2,PHYSPROP,440,PHYSPROP,0.03,0.8,1.9,0.0063,EPI
748,88-74-4,"Bencenamina, 2-nitro -","Nitroaniline, 2-",140,PHYSPROP,0.0000024,0.000000059,PHYSPROP,0.0028,PHYSPROP,71,PHYSPROP,0.9,CRC89,0.052,0.0000074,WATER 9,NA,,110,EPI,1.9,PHYSPROP,1500,PHYSPROP,0.02,0.62,1.5,0.0045,EPI
749,88-85-7,"Fenol, 2 - (1-metilpropil) -4,6-dinitro -",Dinoseb,240,PHYSPROP,0.000019,0.00000046,EPI,0.000075,PHYSPROP,40,PHYSPROP,1.3,CRC89,0.025,0.0000065,WATER 9,NA,,4300,EPI,3.6,PHYSPROP,52,PHYSPROP,0.097,2.3,5.6,0.016,EPI
750,88-89-1,"Fenol, 2,4,6-trinitro -","Picric Acid (2,4,6-Trinitrophenol)",230,PHYSPROP,7E-010,1.7E-011,EPI,0.00000075,PHYSPROP,120,PHYSPROP,1.8,PERRY,0.03,0.0000082,WATER 9,NA,,2300,EPI,1.4,PHYSPROP,13000,PHYSPROP,0.0036,2,4.8,0.00062,EPI
751,886-50-0,"1,3,5-Triazina-2,4-diamina, N2-(1,1-dimetiletil)-N4-etil-6-(metiltio)-",Terbutryn,240,PHYSPROP,0.00000088,0.000000022,EPI,0.0000017,PHYSPROP,100,PHYSPROP,1.1,CRC89,0.024,0.000006,WATER 9,NA,,610,EPI,3.7,PHYSPROP,25,PHYSPROP,0.13,2.4,5.7,0.021,EPI
752,88671-89-0,"1H-1 ,2,4-triazol-1-propanonitrilo, alfa-butil-alfa- (4-clorofenil) -",Myclobutanil,270,PHYSPROP,0.00000017,4.3E-009,EPI,0.0000016,PHYSPROP,66,PHYSPROP,NA,,0.045,0.0000053,WATER 9,NA,,6100,EPI,2.9,PHYSPROP,140,PHYSPROP,0.021,3.6,8.7,0.0034,EPI
753,90-12-0,NA,"~Methylnaphthalene, 1-",140,PHYSPROP,0.021,0.00051,PHYSPROP,0.067,PHYSPROP,-30,PHYSPROP,1,CRC89,0.053,0.0000078,WATER 9,NA,,2500,EPI,3.9,PHYSPROP,26,PHYSPROP,0.43,0.66,1.6,0.093,EPI
754,90-43-7,"[1,1 '-bifenil]-2-ol","Phenylphenol, 2-",170,PHYSPROP,0.000043,0.0000011,EPI,0.002,EPI,59,PHYSPROP,1.2,CRC89,0.042,0.0000078,WATER 9,NA,,6700,EPI,3.1,PHYSPROP,700,PHYSPROP,0.098,0.94,2.3,0.02,EPI
755,90-98-2,NA,"Dichlorobenzophenone, 4,4'-",250,PHYSPROP,0.000044,0.0000011,PHYSPROP,0.0000064,PHYSPROP,150,PHYSPROP,1.5,CRC89,0.026,0.0000069,WATER 9,NA,,2900,EPI,4.4,PHYSPROP,0.83,PHYSPROP,0.33,2.7,6.4,0.054,EPI
756,9004-70-0,"Celulosa, nitrato",Nitrocellulose,390,PHYSPROP,1.3E-021,3.3E-023,PHYSPROP,1.4E-017,PHYSPROP,260,EPI,NA,,0.036,0.0000042,WATER 9,NA,,10,EPI,-4.6,PHYSPROP,1000000,PHYSPROP,0.000000075,16,37,9.9E-009,EPI
757,9016-87-9,"Ácido isociánico, polimetilenopolifenileno éster",Polymeric Methylene Diphenyl Diisocyanate (PMDI),510,EPI,5.4E-010,1.3E-011,EPI,5.4E-013,EPI,250,EPI,NA,,0.03,0.0000035,WATER 9,NA,,10000000000,EPI,10,EPI,0.0000018,EPI,160,78,370,19,EPI
758,90982-32-4,NA,"Chlorimuron, Ethyl-",410,PHYSPROP,7.4E-014,1.8E-015,EPI,4E-012,PHYSPROP,180,PHYSPROP,NA,,0.034,0.000004,WATER 9,NA,,72,EPI,2.5,PHYSPROP,1200,PHYSPROP,0.0026,22,53,0.00034,EPI
759,91-08-7,"Benceno, 1,3-diisocianato-2-metil -","Toluene-2,6-diisocyanate",170,EPI,0.00045,0.000011,EPI,0.021,EPI,18,EPI,NA,,0.061,0.0000071,WATER 9,NA,,7600,EPI,3.7,EPI,38,EPI,0.26,0.99,2.4,0.051,EPI
760,91-20-3,Naftaleno,~Naphthalene,130,PHYSPROP,0.018,0.00044,PHYSPROP,0.085,PHYSPROP,80,PHYSPROP,1,CRC89,0.06,0.0000084,WATER 9,NA,,1500,EPI,3.3,PHYSPROP,31,PHYSPROP,0.2,0.55,1.3,0.047,EPI
761,91-22-5,Quinolina,Quinoline,130,PHYSPROP,0.000068,0.0000017,EPI,0.06,PHYSPROP,-15,PHYSPROP,1.1,CRC89,0.062,0.0000087,WATER 9,NA,,1500,EPI,2,PHYSPROP,6100,PHYSPROP,0.029,0.56,1.3,0.0066,EPI
762,91-57-6,"Naftaleno, 2-metil-","~Methylnaphthalene, 2-",140,PHYSPROP,0.021,0.00052,PHYSPROP,0.055,PHYSPROP,34,PHYSPROP,1,CRC89,0.052,0.0000078,WATER 9,NA,,2500,EPI,3.9,PHYSPROP,25,PHYSPROP,0.42,0.66,1.6,0.092,EPI
763,91-58-7,"Naftaleno, 2-cloro -","~Chloronaphthalene, Beta-",160,PHYSPROP,0.013,0.00032,PHYSPROP,0.012,EPI,61,PHYSPROP,1.1,CRC89,0.045,0.0000077,WATER 9,NA,,2500,EPI,3.9,PHYSPROP,12,PHYSPROP,0.37,0.86,2.1,0.075,EPI
764,91-59-8,2-naftalenamina,"Naphthylamine, 2-",140,PHYSPROP,0.0000033,0.000000081,PHYSPROP,0.00026,PHYSPROP,110,PHYSPROP,1.6,CRC89,0.064,0.00001,WATER 9,NA,,2500,EPI,2.3,PHYSPROP,190,PHYSPROP,0.037,0.67,1.6,0.0081,EPI
765,91-94-1,"[1,1 '-bifenil] -4,4'-diamina, 3,3 '-dicloro -","Dichlorobenzidine, 3,3'-",250,PHYSPROP,1.2E-009,2.8E-011,PHYSPROP,0.00000026,PHYSPROP,130,PHYSPROP,NA,,0.047,0.0000055,WATER 9,NA,,3200,EPI,3.5,PHYSPROP,3.1,PHYSPROP,0.078,2.8,6.6,0.013,EPI
766,92-52-4,"1,1 '-bifenil","Biphenyl, 1,1'-",150,PHYSPROP,0.013,0.00031,PHYSPROP,0.0089,PHYSPROP,69,PHYSPROP,1,CRC89,0.047,0.0000076,WATER 9,NA,,5100,EPI,4,PHYSPROP,7.5,PHYSPROP,0.45,0.77,1.8,0.094,EPI
767,92-67-1,"[1,1 '-bifenil]-4-amina","Aminobiphenyl, 4-",170,PHYSPROP,0.000006,0.00000015,PHYSPROP,0.00012,PHYSPROP,54,PHYSPROP,NA,,0.062,0.0000073,WATER 9,NA,,2500,EPI,2.9,PHYSPROP,220,PHYSPROP,0.07,0.93,2.2,0.014,EPI
768,92-84-2,NA,Phenothiazine,200,PHYSPROP,0.0000011,0.000000028,PHYSPROP,0.00000089,PHYSPROP,190,PHYSPROP,1.3,PubChem,0.029,0.0000075,WATER 9,NA,,1500,EPI,4.2,PHYSPROP,1.6,PHYSPROP,0.37,1.4,3.3,0.068,EPI
769,92-87-5,"[1,1 '-bifenil] -4,4'-diamina",Benzidine,180,PHYSPROP,2.1E-009,5.2E-011,PHYSPROP,0.0000009,PHYSPROP,120,PHYSPROP,1.2,Yaws 2008,0.035,0.0000075,WATER 9,NA,,1200,EPI,1.3,PHYSPROP,320,PHYSPROP,0.0059,1.1,2.7,0.0011,EPI
770,924-16-3,"1-butanamina, n-butil-n-nitroso -","Nitroso-di-N-butylamine, N-",160,PHYSPROP,0.00054,0.000013,PHYSPROP,0.047,EPI,28,EPI,0.9,PubChem,0.042,0.0000068,WATER 9,NA,,910,EPI,2.6,PHYSPROP,1300,PHYSPROP,0.055,0.81,1.9,0.011,EPI
771,93-65-2,"Ácido propanoico, 2 - (4-cloro-2-metilfenoxi) -",MCPP,210,PHYSPROP,0.00000074,0.000000018,PHYSPROP,0.00000075,PHYSPROP,95,PHYSPROP,1.3,PubChem,0.027,0.000007,WATER 9,NA,,49,EPI,3.1,PHYSPROP,620,PHYSPROP,0.074,1.7,4,0.013,EPI
772,93-72-1,"Ácido propanoico, 2 - (2,4,5-triclorofenoxi) -","Trichlorophenoxypropionic acid, -2,4,5",270,PHYSPROP,0.00000037,9.1E-009,PHYSPROP,0.00001,PHYSPROP,180,PHYSPROP,1.2,PubChem,0.023,0.0000059,WATER 9,NA,,180,EPI,3.8,PHYSPROP,71,PHYSPROP,0.1,3.4,8.2,0.016,EPI
773,93-76-5,"Ácido acético, 2 - (2,4,5-triclorofenoxi) -","Trichlorophenoxyacetic Acid, 2,4,5-",260,PHYSPROP,0.00000035,8.7E-009,PHYSPROP,0.000038,EPI,150,PHYSPROP,1.8,PubChem,0.029,0.0000078,WATER 9,NA,,110,EPI,3.3,PHYSPROP,280,PHYSPROP,0.056,2.8,6.8,0.0091,EPI
774,930-55-2,"Pirrolidina, 1-nitroso -","Nitrosopyrrolidine, N-",100,PHYSPROP,0.000002,0.000000049,PHYSPROP,0.06,PHYSPROP,-3.1,EPI,1.1,CRC89,0.08,0.00001,WATER 9,NA,,92,EPI,-0.19,PHYSPROP,1000000,PHYSPROP,0.0012,0.38,0.92,0.00032,EPI
775,94-58-6,"1,3-benzodioxol, 5-propil -",Dihydrosafrole,160,PHYSPROP,0.0005,0.000012,PHYSPROP,0.056,PHYSPROP,44,EPI,1.1,PubChem,0.043,0.0000074,WATER 9,NA,,210,EPI,3.6,PHYSPROP,57,PHYSPROP,0.22,0.87,2.1,0.045,EPI
776,94-59-7,"1,3-benzodioxol, 5 - (2-propen-1-il) -",Safrole,160,PHYSPROP,0.00037,0.0000091,PHYSPROP,0.062,PHYSPROP,11,PHYSPROP,1.1,CRC89,0.044,0.0000076,WATER 9,NA,,210,EPI,3.5,PHYSPROP,120,PHYSPROP,0.055,0.85,2,0.011,RAGSE
777,94-74-6,"Ácido acético, 2 - (4-cloro-2-metilfenoxi) -",MCPA,200,PHYSPROP,0.000000054,1.3E-009,EPI,0.0000059,PHYSPROP,120,PHYSPROP,1.6,PubChem,0.031,0.0000082,WATER 9,NA,,30,EPI,3.3,PHYSPROP,630,PHYSPROP,0.092,1.4,3.4,0.017,EPI
778,94-75-7,"Ácido acético, 2 - (2,4-diclorofenoxi) -","Dichlorophenoxy Acetic Acid, 2,4-",220,PHYSPROP,0.0000014,0.000000035,EPI,0.000083,PHYSPROP,140,PHYSPROP,1.4,PubChem,0.028,0.0000073,WATER 9,NA,,30,EPI,2.8,PHYSPROP,680,PHYSPROP,0.038,1.8,4.4,0.0066,EPI
779,94-81-5,NA,MCPB,230,PHYSPROP,0.00000011,2.7E-009,EPI,0.00000043,PHYSPROP,100,PHYSPROP,NA,,0.051,0.0000059,WATER 9,NA,,98,EPI,2.8,PHYSPROP,48,PHYSPROP,0.1,2,4.8,0.017,EPI
780,94-82-6,NA,"Butanoic acid, 4-(2,4-dichlorophenoxy)-",250,PHYSPROP,0.000000094,2.3E-009,PHYSPROP,0.000011,PHYSPROP,120,PHYSPROP,1.4,ChemNet,0.026,0.0000067,WATER 9,NA,,370,PubChem,3.5,PHYSPROP,46,PHYSPROP,0.084,2.6,6.3,0.014,EPI
781,944-22-9,"Ácido fosfonoditióico, P-etil-, O-etil S-fenil éster",Fonofos,250,PHYSPROP,0.00029,0.000007,EPI,0.00034,PHYSPROP,0.66,EPI,1.2,CRC89,0.024,0.0000061,WATER 9,NA,,860,EPI,3.9,PHYSPROP,16,PHYSPROP,0.16,2.5,6,0.027,EPI
782,95-47-6,"Benceno, 1,2-dimetil -","Xylene, o-",110,PHYSPROP,0.21,0.0052,PHYSPROP,6.6,PHYSPROP,-25,PHYSPROP,0.88,CRC89,0.069,0.0000085,WATER 9,NA,,380,EPI,3.1,PHYSPROP,180,PHYSPROP,0.19,0.41,0.99,0.047,EPI
783,95-48-7,"Fenol, 2-metil -","Cresol, o-",110,PHYSPROP,0.000049,0.0000012,PHYSPROP,0.3,EPI,30,PHYSPROP,1,CRC89,0.073,0.0000093,WATER 9,NA,,310,EPI,2,PHYSPROP,26000,PHYSPROP,0.031,0.42,1,0.0077,EPI
784,95-49-8,"Benceno, 1-cloro-2-metil -","Chlorotoluene, o-",130,PHYSPROP,0.15,0.0036,PHYSPROP,3.4,PHYSPROP,-36,PHYSPROP,1.1,CRC89,0.063,0.0000087,WATER 9,NA,,380,EPI,3.4,PHYSPROP,370,PHYSPROP,0.25,0.54,1.3,0.057,EPI
785,95-50-1,"Benceno, 1,2-dicloro -","Dichlorobenzene, 1,2-",150,PHYSPROP,0.078,0.0019,PHYSPROP,1.4,PHYSPROP,-17,PHYSPROP,1.3,CRC89,0.056,0.0000089,WATER 9,NA,,380,EPI,3.4,PHYSPROP,160,PHYSPROP,0.21,0.7,1.7,0.045,EPI
786,95-53-4,"Bencenamina, 2-metil -","Toluidine, o- (Methylaniline, 2-)",110,PHYSPROP,0.000081,0.000002,PHYSPROP,0.26,PHYSPROP,-14,PHYSPROP,1,CRC89,0.072,0.0000092,WATER 9,NA,,120,EPI,1.3,PHYSPROP,17000,PHYSPROP,0.012,0.42,1,0.003,EPI
787,95-54-5,NA,"Phenylenediamine, o-",110,PHYSPROP,0.00000029,7.2E-009,EPI,0.0021,EPI,100,PHYSPROP,NA,,0.084,0.0000098,WATER 9,NA,,35,EPI,0.15,PHYSPROP,40000,PHYSPROP,0.0019,0.42,1,0.00049,EPI
788,95-55-6,NA,"Aminophenol, o-",110,PHYSPROP,8.1E-009,2E-010,PHYSPROP,0.0096,PHYSPROP,170,PHYSPROP,1.3,CRC89,0.08,0.000011,WATER 9,NA,,92,EPI,0.62,PHYSPROP,20000,PHYSPROP,0.004,0.43,1,0.00099,EPI
789,95-57-8,"Fenol, 2-cloro -","Chlorophenol, 2-",130,PHYSPROP,0.00046,0.000011,PHYSPROP,2.5,PHYSPROP,9.8,PHYSPROP,1.3,CRC89,0.066,0.0000095,WATER 9,NA,,390,SSL,2.2,PHYSPROP,11000,PHYSPROP,0.035,0.55,1.3,0.008,EPI
790,95-63-6,"Benceno, 1,2,4-trimetil -","Trimethylbenzene, 1,2,4-",120,PHYSPROP,0.25,0.0062,PHYSPROP,2.1,PHYSPROP,-44,PHYSPROP,0.88,CRC89,0.061,0.0000079,WATER 9,NA,,610,EPI,3.6,PHYSPROP,57,PHYSPROP,0.36,0.5,1.2,0.086,EPI
791,95-65-8,"Fenol, 3,4-dimetil -","Dimethylphenol, 3,4-",120,PHYSPROP,0.000017,0.00000042,PHYSPROP,0.036,EPI,61,PHYSPROP,0.98,CRC89,0.063,0.0000084,WATER 9,NA,,490,EPI,2.2,PHYSPROP,4800,PHYSPROP,0.042,0.51,1.2,0.0098,EPI
792,95-68-1,"Bencenamina, 2,4-dimetil -","Dimethylaniline, 2,4-",120,PHYSPROP,0.0001,0.0000025,PHYSPROP,0.13,PHYSPROP,-14,PHYSPROP,0.97,CRC89,0.063,0.0000084,WATER 9,NA,,180,EPI,1.7,PHYSPROP,6100,PHYSPROP,0.018,0.5,1.2,0.0043,EPI
793,95-69-2,NA,"Chloro-2-methylaniline, 4-",140,PHYSPROP,0.000081,0.000002,PHYSPROP,0.041,PHYSPROP,30,PHYSPROP,NA,,0.07,0.0000082,WATER 9,NA,,180,EPI,2.3,PHYSPROP,950,PHYSPROP,0.037,0.65,1.6,0.0081,EPI
794,95-70-5,"1,4-bencenodiamina 2-metil -","Toluene-2,5-diamine",120,PHYSPROP,0.0000003,7.4E-009,PHYSPROP,0.0034,PHYSPROP,64,PHYSPROP,NA,,0.077,0.000009,WATER 9,NA,,55,EPI,0.16,PHYSPROP,77000,PHYSPROP,0.0017,0.51,1.2,0.00041,EPI
795,95-94-3,"Benceno, 1,2,4,5-tetracloro -","Tetrachlorobenzene, 1,2,4,5-",220,PHYSPROP,0.041,0.001,PHYSPROP,0.0054,EPI,140,PHYSPROP,1.9,CRC89,0.032,0.0000088,WATER 9,NA,,2200,EPI,4.6,PHYSPROP,0.6,PHYSPROP,0.66,1.7,6.7,0.12,EPI
